Mutant ID ,Munatnt Operator ,Reference,Explanation,BugID,Bug identification
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation involves introducing a local variable comp to store the comparator value. If the comparator is null, the comp variable is assigned ComparatorUtils.NATURAL_COMPARATOR, otherwise, it is assigned the value of comparator. This comp variable is then used as the comparator in the CollatingIterator constructon. The mutant operator used in this mutation is the ""Variable Replacement"" operator. It replaces the original comparator variable with the newly introduced comp variable. This mutation ensures that if the comparator is null, the CollatingIterator constructor receives the ComparatorUtils.NATURAL_COMPARATOR as the comparator argument, preventing potential null pointer exceptions.",collections25,Collections
VR[26],"""Variable Assignmenrt""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","he mutation involves changing the access modifier of the readResolve() method from private to protected. The mutant operator used in this mutation is the ""Access Modifier Change"" operator. It modifies the access level of a class member, in this case, changing it from private to protected. By changing the access modifier of the readResolve() method to protected, it allows subclasses to override and provide their own implementation of the method. This mutation provides more flexibility in subclassing the MultiKey class and potentially altering the behavior of the readResolve() method in the subclasses.",collections26,
no,no,inovation of Defects4j ,"The mutation involves adding an additional check in the readObject() method of the ValueSet class. The mutant operator used in this mutation is the ""Exception Thrown"" operator. It introduces an additional exception throwing statement in the code. The original readObject() method reads the object from the input stream using the default deserialization process. The mutation adds an extra check after deserialization to ensure that the de-serialized class is a Collection. If the de-serialized class is not a Collection, it throws an UnsupportedOperationException. This mutation aims to enforce the requirement that the de-serialized object must be a Collection type.",collections27,
no,no,defects4j innovation ,"The mutation involves modifying the clear() method in the RangeEntryMap inner class of the AbstractPatriciaTrie class. The mutant operator used in this mutation is the ""Method Deletion"" operator. It removes the entire implementation of the clear() method. The original clear() method in the RangeEntryMap class iterates over the entries of the AbstractPatriciaTrie and removes them if their keys are contained in the currentKeys set. This method provides a way to clear only the entries within the specified range. The mutation removes the entire implementation of the clear() method, which means that calling clear() on a RangeEntryMap instance will have no effect.",collections28,
SR[183],"""Statement Reordering""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation involves swapping the positions of two lines of code in the doReadObject() method of the AbstractReferenceMap class. The mutant operator used in this mutation is the ""Line Swap"" operator. It swaps the positions of two lines of code. In the original code, the threshold variable is calculated after populating the map with key-value pairs during deserialization. However, in the mutated code, the calculation of the threshold variable is moved before the population loop. This means that the threshold is calculated using the initial size of the map before any key-value pairs are added. This mutation could potentially lead to incorrect threshold calculation and affect the performance and behavior of the map.",collections29,
"MCR[2],MRV[145]","""MethodCallReplacement"",""Modification Of Return Value""","The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation involves replacing the expression (list.size() + size - 1) / size with (int) Math.ceil((double) list.size() / (double) size) in the size() method of the ListPartition nested class within the ListUtils class. The mutant operator used in this mutation is the ""Arithmetic Operator Replacement"" operator. It replaces the original integer division (/) with a floating-point division (Math.ceil()). In the original code, the size() method calculates the number of partitions based on the total size of the list and the specified partition size. The expression (list.size() + size - 1) / size uses integer division to ensure that the result is rounded up to the nearest integer. However, in the mutated code, the expression (int) Math.ceil((double) list.size() / (double) size) uses the Math.ceil() function to perform floating-point division and then rounds up the result to the nearest integer. This mutation ensures that the number of partitions is always rounded up, even in cases where the division would result in a fractional value.",collections30,
SR[183],"""Statement Reordering""","The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation involves swapping the positions of the statements super.add(index, object); and set.add(object); in the add(int index, E object) method of the SetUniqueList class. The mutant operator used in this mutation is the ""Statement Swap"" operator. It swaps the positions of two statements. In the original code, the element is first added to the set and then added to the list using super.add(index, object). This ensures that the element is only added to the list if it is not already contained in the set. However, in the mutated code, the order of statements is swapped. The element is added to the list first using super.add(index, object) and then added to the set using set.add(object). This mutation may result in the element being added to the list even if it is already contained in the set, leading to a violation of the uniqueness constraint of the SetUniqueList.",collections31,NOTE: collections35 has some error can't open patch 
BCO[17],"""Boundary Condition Operator""","The Art of Mutation Testing"" by Jia and Harman (2011).","In the code, there is a conditional statement starting with ""if (!removeGlobals)."" This statement checks if the variable ""removeGlobals"" is false. If it is false, the code immediately returns from the function and does not execute the remaining code in the function. The added lines specify that if the variable ""removeGlobals"" is false, the function should return immediately without further execution. Regarding the mutant operator name, based on the provided code snippet, it appears that the mutant operator being used is ""Conditional Boundary Mutator."" This mutant operator modifies the conditional statement by changing the condition or the boundary values of the condition to create mutants.",closure1,"1-62,64-92,94-176 closure bugs ID"
"CI[36],MCR[2]","""Condition Insertion"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The given code snippet shows a method called checkProperties within a class called TypeCheck. In this method, there is a conditional statement that checks the value of the variable implicitProto. If implicitProto is null, the code sets the variable currentPropertyNames to an empty immutable set. Otherwise, if implicitProto is not null, the code sets currentPropertyNames to the result of calling the method getOwnPropertyNames() on implicitProto. The added lines handle the case when implicitProto is null, ensuring that the variable currentPropertyNames is set to an empty set. This is done to prevent potential crashes caused by a bad type annotation. Regarding the mutant operator name, based on the provided code snippet, it appears that the mutant operator being used is the ""Conditional Insertion Mutator."" This mutant operator inserts or modifies conditional statements to create mutants.",closure2,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is a modification in the canInline() method of the FlowSensitiveInlineVariables class. The mutant operator used is ""Method Parameter modification"".  The mutation adds a method parameter final Scope scope to the canInline() method. By adding this parameter, the method can access the scope information of the current context. This modification allows the method to check if a variable being considered for inlining is a catch parameter (var.getParentNode().isCatch()). The purpose of this modification is to enhance the condition that determines whether a candidate variable can be inlined. If the variable is a catch parameter, the mutant operator considers it eligible for inlining, which deviates from the original behavior.",closure3,
MNM[94],"""Method Name Modification.""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is a modification in the NamedType class. The mutant operator used is ""Method Name Modification.""  The mutation changes the method name from detectImplicitPrototypeCycle() to detectInheritanceCycle(). This modification does not affect the logic of the code but changes the name of the method being invoked. The purpose of this modification is to improve the clarity and accuracy of the method name, making it more aligned with the actual behavior of the method. The new name, detectInheritanceCycle(), suggests that the method is responsible for detecting inheritance cycles rather than implicit prototype cycles.",closure4,
"CI[36],MRV[145]","""Condition Insertion"",""Modification of Return Value""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is an addition in the shouldInline() method of the InlineObjectLiterals class. The mutant operator used is ""Boolean Condition Insertion."" The mutation adds a conditional check if (gramps.isDelProp()) before returning false in the shouldInline() method. This condition checks if the gramps object has the isDelProp() method returning a true value. If gramps.isDelProp() is true, the method returns false immediately without further execution. The purpose of this modification is to prevent the inlining of properties that are marked for deletion. By adding this condition, the mutant operator introduces a check to skip the inlining process for properties that are being deleted.",closure5,
DOC[16],"""IF Else Condition Deletion""","The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation in the code is a deletion in the TypeValidator class. The mutant operator used is ""Void Method Deletion."" the mutation deletes the registerMismatch(rightType, leftType, null); statement from the TypeValidator class. This statement is responsible for registering a type mismatch when certain conditions are met. By removing this statement, the type mismatch is no longer registered. The purpose of this modification is to omit the registration of type mismatches between constructor types and enum types. The mutant operator removes the handling of this specific case, potentially affecting the accuracy of the type validation process.",closure6,
"EII[?],MRV[145]","""Else if Insertion"",""Modification of Return Value""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is a modification in the caseObjectType() method of the ChainableReverseAbstractInterpreter class. The mutant operator used is ""Conditional Operator Replacement."" The mutation replaces the conditional operator (?:) with an if-else statement. The original code used the conditional operator to determine the return value based on the conditions resultEqualsValue and ctorType.isSubtype(type). In the modified code, the if-else statement explicitly checks the condition resultEqualsValue and provides different return logic accordingly. The purpose of this modification is to change the behavior of the method when resultEqualsValue is true. Instead of returning ctorType as the result, the modified code calls the getGreatestSubtype() method on ctorType and passes type as the argument. This modification allows the method to return the greatest subtype of ctorType that is also a subtype of type.",closure7,
"MA[39],LOR[58]","""Method Addition."",""Logical Operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is an addition in the CollapseVariableDeclarations class. The mutant operator used is ""Method Addition."" The mutation adds a new private method called isNamedParameter(Var v) to the CollapseVariableDeclarations class. This method takes a Var object as a parameter and checks if its parent node is a parameter list. If the parent node is a parameter list, it indicates that the variable is a named parameter. The purpose of this modification is to introduce a helper method that determines whether a variable is a named parameter. By adding this method, the code can now check if a variable being collapsed is a named parameter and exclude it from the collapsing process. This enhances the accuracy of variable collapsing by avoiding the collapse of named parameters.",closure8,
MCR[2],"""MethodCallReplacement""","The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation removes the call to the normalizeSourceName() method and directly passes script.getSourceFileName() as the argument to the guessCJSModuleName() method. The purpose of the normalizeSourceName() method was to normalize the file path by replacing backslashes (\) with forward slashes (/). However, the modified code skips this normalization step. It assumes that the script.getSourceFileName() already provides the correct file name and doesn't require further normalization. The impact of this mutation depends on the behavior of the guessCJSModuleName() method and the format of the file names it expects. If the guessCJSModuleName() method can handle the file names without normalization, the mutation should not cause any issues. However, if the guessCJSModuleName() method relies on normalized file names, this mutation can lead to incorrect module names being assigned.",closure9,
MCR[2],"""MethodCallReplacement.""","The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation in the code is a modification in the NodeUtil class. The mutant operator used is ""Method Replacement."" The mutation replaces the method call allResultsMatch(n, MAY_BE_STRING_PREDICATE) with anyResultsMatch(n, MAY_BE_STRING_PREDICATE). Both methods are utility methods that check the results of a predicate function on the nodes. In the original code, the mayBeString() method used the allResultsMatch() method to check if all results of the MAY_BE_STRING_PREDICATE predicate function match for the given node n. However, in the modified code, the anyResultsMatch() method is used instead, which checks if any result matches the predicate. The purpose of this modification is to change the logic of the mayBeString() method. With the original code, all results must match the predicate for the method to return true. In the modified code, it is enough for at least one result to match the predicate for the method to return true. This mutation broadens the conditions under which the method considers a node to potentially be a string.",closure10,
DOC[16],"""Deletion of Condition""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is a deletion in the TypeCheck class. The mutant operator used is ""Void Method Deletion."" The mutation deletes the return; statement from the TypeCheck class. This statement is used to immediately exit the method if certain conditions are met. In the original code, the return; statement is executed when n.getJSType() != null and parent.isAssign() are both true. This condition checks if the current node has a non-null type and is part of an assignment operation. If these conditions are met, the method returns immediately without further execution. By removing this return; statement, the mutant operator eliminates the early return behavior, and the method continues execution regardless of the conditions. This modification can impact the control flow and behavior of the TypeCheck class.",closure11,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is an addition in the MaybeReachingVariableUse class. The mutant operator used is ""Statement Addition."" The mutation adds a new method called hasExceptionHandler(Node cfgNode) to the MaybeReachingVariableUse class. This method takes a cfgNode as a parameter and checks if there is an exception handler (Branch.ON_EX) outgoing from the given control flow graph (CFG) node. The purpose of this modification is to enhance the hasExceptionHandler() method by allowing it to detect exception handlers in the CFG. The original code simply returned false, indicating that there were no exception handlers. With the addition of this method, it can now analyze the outgoing edges of the CFG node and check if any of them represent an exception handler. If an exception handler is found, the method returns true; otherwise, it returns false.",closure12,
SR[183],"""Statement Reordering""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The given code snippet belongs to a class called PeepholeOptimizationsPass. Inside a do-while loop, there is a while loop that iterates over the children of a node. In the original code, the method traverse(c) is called before updating the variable c to its next sibling. The mutated code moves the line Node next = c.getNext(); before the method call traverse(c). This means that the next sibling of c is obtained before calling traverse(c), ensuring that the correct next sibling is assigned to c even if the traversal function modifies the node structure. Regarding the mutant operator name, based on the provided code snippet, it appears that the mutant operator being used is the ""Statement Reordering Mutator."" This mutant operator reorders statements within a block to create mutants.",closure13,
CR[6],"""Constant Replacement Mutator.""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The given code snippet is part of a class called ControlFlowAnalysis. Inside an if statement, there is a for loop that iterates over a collection of finallyNode objects. In the original code, the method createEdge() is called with arguments (fromNode, Branch.UNCOND, finallyNode). The mutation in question modifies the arguments passed to the createEdge() method: The mutated code changes the second argument from Branch.UNCOND to Branch.ON_EX. This mutation introduces an alteration to the control flow by creating an edge that represents control flow from fromNode to finallyNode specifically when an exception occurs (Branch.ON_EX), instead of unconditionally (Branch.UNCOND). Regarding the mutant operator name, based on the provided code snippet, it appears that the mutant operator being used is the ""Constant Replacement Mutator."" This mutant operator modifies constant values or enum constants to create mutants.",closure14,
"BCO[17],MRV[145]","""Conditional Boundary Operator."",""Modification of Return Value""","The Art of Mutation Testing"" by Jia and Harman (2011).","The given code snippet is part of a class called FlowSensitiveInlineVariables. Inside a method called apply, there is a series of conditional statements. In the original code, a new conditional statement is added: This conditional statement checks if the node n represents a property deletion operation (isDelProp()). If it does, the method immediately returns true, indicating that the condition is satisfied. The added lines specify that if the node n represents a property deletion operation, the method should return true immediately, without further execution. Regarding the mutant operator name, based on the provided code snippet, it appears that the mutant operator being used is the ""Conditional Boundary Mutator."" This mutant operator modifies the conditional statement by changing the condition or the boundary values of the condition to create mutants.",closure15,
no,no,"The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation in the code is a modification in the ScopedAliases class. The mutant operator used is ""Method/Constructor Change."" The mutation modifies the constructor call of the AliasedTypeNode class in the ScopedAliases class. In the original code, the constructor call receives aliasedNode.getQualifiedName() + name.substring(endIndex) as the second argument. It concatenates the qualified name of the aliasedNode with a substring of name starting from endIndex. This concatenation is used to form the alias name.In the modified code, the constructor call receives aliasedNode as the second argument, and baseName is passed as the third argument. The qualified name of the aliasedNode and the baseName are used within the applyAlias() method to replace the corresponding parts of the type reference. The purpose of this modification is to provide the AliasedTypeNode with both the aliasedNode and baseName so that the applyAlias() method can perform more precise replacements when applying the alias. This change allows for more flexibility in handling complex alias expansions.",closure16,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is an addition in the TypedScopeCreator class. The mutant operator used is ""Statement Addition."" The mutation adds a condition to handle type-casting in the TypedScopeCreator class. It checks if the rValue (the right-hand side of an assignment) has a type-cast annotation using JSDoc. If a type-cast annotation exists, it uses the type specified in the type-cast for the declaration's type inference. In the original code, only the existing type of rValue was considered for type inference. If the rValue had a non-unknown type, that type was used. However, the modified code first checks if rValue has a JSDoc info and if that info contains a type-cast. If so, it evaluates the type-cast annotation using the current scope and the type registry to determine the type for the declaration. This modification allows for more precise type inference in cases where explicit type-casting is specified using JSDoc annotations. It ensures that the type-cast is taken into account when inferring the type for a declaration.",closure17,
LOR[58],"""Logical Operator Replacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","he mutation in the code is a modification in the Compiler class. The mutant operator used is ""Conditional Expression Insertion."" The mutation removes the second condition && options.closurePass from the if statement in the Compiler class. In the original code, the condition checks two things: whether the dependencyOptions need management and whether the closurePass option is enabled. Both conditions need to be true for the if block to execute. In the modified code, the condition only checks whether the dependencyOptions need management. The closurePass condition is removed. This change means that the if block will be executed whenever the dependencyOptions need management, regardless of the closurePass option's value. The purpose of this modification is to simplify the condition and remove the dependency on the closurePass option. It suggests that the closurePass option is no longer necessary for the given context or that its value doesn't affect the behavior of the if block.",closure18,
"CI[?],CFSM[27]","""Case Insertion"",""Control Flow Statement Mutator""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is an addition in the ChainableReverseAbstractInterpreter class. The mutant operator used is ""Statement Addition."" The mutation adds a break; statement in the ChainableReverseAbstractInterpreter class for the case Token.THIS: condition. This addition has no effect on the code's behavior because the break; statement already exists in the original code. The purpose of this code is to handle the Token.THIS case in a switch statement. However, since the break; statement immediately follows the case Token.THIS: statement, it doesn't change the control flow or behavior of the code.",closure19,
ROR[70],"""Relational Operator Replacement.""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The mutation in the code is a modification in the PeepholeSubstituteAlternateSyntax class. The mutant operator used is ""Relational Operator Replacement."" The mutation modifies the condition in the if statement in the PeepholeSubstituteAlternateSyntax class. The modified condition checks three conditions:
value != null: Same as the original code.
value.getNext() == null: Checks if the value node doesn't have a next sibling node.
NodeUtil.isImmutableValue(value): Calls the isImmutableValue() method to check if the value node represents an immutable value.The purpose of this modification is to add additional conditions to the if statement, making it more specific. The modified code ensures that value is the last child of its parent and that it represents an immutable value before executing the following code block.",closure20,
no,no,"The Art of Mutation Testing"" by Jia and Harman (2011).","The mutation in the code is a modification in the CheckSideEffects class. The mutant operator used is ""Logical Operator Replacement."" The mutation modifies the logical operator in the if statement in the CheckSideEffects class. In the original code, the condition uses the logical AND operator (&&) to combine two conditions: In the modified code, the logical AND operator is replaced with the logical OR operator (||): The purpose of this modification is to change the logical behavior of the condition. In the original code, the condition evaluates to true if isResultUsed is false and either isSimpleOp is true or NodeUtil.mayHaveSideEffects(n, t.getCompiler()) is false. In the modified code, the condition evaluates to true if isResultUsed is false or either isSimpleOp is true or NodeUtil.mayHaveSideEffects(n, t.getCompiler()) is false. This modification weakens the condition and may result in the code producing different outcomes or reporting different messages.",closure21,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The code snippet contains an if condition that checks various conditions and returns early if they are met. The innermost if condition checks if certain criteria are true for specific nodes (n) and their parent nodes (parent and gramps). If those conditions are true, the code inside the if block is executed. The mutation would involve removing this innermost if condition and its associated block. As a result, the code would no longer execute the statements inside that block when the condition is satisfied.",closoure22,"1-62,64-92,94-176 closure bugs ID"
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code checks two conditions in the for loop: (1) current is not null and (2) i is less than intIndex. The loop continues iterating as long as both conditions are true. However, the mutation involves removing the second condition (i < intIndex) from the loop's termination condition. As a result, the loop will iterate indefinitely as long as current is not null. The mutation introduces a change in the loop's behavior. Previously, it terminated once i reached the specified index (intIndex). After the mutation, the loop will keep iterating even after reaching intIndex. However, the introduced if statement inside the loop checks if the current node (current) has side effects. If a node with side effects is encountered before reaching intIndex, the function returns early, potentially altering the original behavior.",closure23,
"LOR[58],EII[?]","Logical Operator Insertion (AND),""Else If Insertion""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)"," In the original code, there are several if statements checking different conditions related to the parent and child nodes. The mutation involves consolidating two separate if conditions into a single compound condition using the logical AND operator (&&). Specifically, the original code checks the conditions parent.isVar() and n.hasChildren() && n.getFirstChild().isQualifiedName() independently. After the mutation, these conditions are combined using the && operator in a single if statement. This means that both conditions must evaluate to true for the block of code within the if statement to execute.  The mutation simplifies the code by reducing the number of if statements and providing a more concise representation of the conditions. It does not change the overall behavior of the code; rather, it improves readability and maintains the same logical functionality.",closure24,
"SR[183],DOL[?],MCR[2]","""Statement Reordering"",""Deletion of Loop"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)"," In the original code, there are two traverse method calls: one for the constructor node and another for iterating over the arg nodes. The mutation involves removing these individual traverse calls. After the mutation, the code still calls traverseChildren(n, scope) to process the children of node n, but the specific calls to traverse(constructor, scope) and the loop calling traverse(arg, scope) are removed. This mutation eliminates the explicit traversal of the constructor and arg nodes, potentially skipping some analysis or modifications that were performed by the traverse method. Depending on the implementation of the traverse method and the intended behavior of the code, this mutation could alter the program's behavior or analysis results.",closure25,
"MCR[2],CI[36],MRV[145]","""MethodCallReplacement"",""Condition Insertion"",""Modification of Return Value""",,"The original code defines a new private variable modulesWithExports, which is initialized as an empty set using Sets.newHashSet(). Additionally, the code introduces new logic to check if a module name is present in the modulesWithExports set and return early if it is not. The mutation adds a new data structure, specifically a Set, to track the modules that have exports. Whenever a module is processed and its exports are handled, the module name is added to the modulesWithExports set using modulesWithExports.add(moduleName). This mutation enhances the code by maintaining a record of modules that have exports. It allows the code to avoid unnecessary processing for modules that do not have exports, improving efficiency.",closure26,
"MA[39],MCR[2]","""Method Addition"",""MethodCallReplacement""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code defines a new private method blockUnchecked that takes a stmt node as input and returns a new BLOCK node containing the statement. This method is then used in place of the block method in the tryFinally and tryCatch methods. The mutation introduces a new method, blockUnchecked, which is similar to the existing block method but does not perform any additional checks on the input node. It directly creates and returns a BLOCK node with the given statement. In the mutated code, the blockUnchecked method is used instead of the original block method when creating the catchBody node in the tryCatch method. The purpose of this mutation seems to be to provide an alternative method that bypasses certain validation checks performed by the original block method. This could be useful in scenarios where the input node is known to meet the requirements without the need for explicit validation.",closure27,
"MA[39],AA[214]","""Method Addition"",""Add Annotation""","Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code defines a new method addConstant inside the InlineCostEstimator class. This method is annotated with @Override, indicating that it overrides a method from a superclass or interface. The implementation of the addConstant method consists of a single line that adds the string ""0"". The mutation introduces a new method, addConstant, to the InlineCostEstimator class. The implementation of this method deviates from the original code's expected behavior. Instead of adding the provided newcode string, the mutated code always adds the constant string ""0"". It's important to note that without additional context or knowledge of the intended purpose of the code, it is challenging to determine the precise rationale behind this mutation and its impact on the program's behavior. The mutation appears to modify the behavior of the addConstant method by introducing a fixed constant value, ""0"", instead of using the provided newcode parameter.",closure28,
no,no,no reference,"The original code initializes a new HashSet named validProperties within the isInlinableObject method. This set is used to keep track of valid properties encountered during the iteration over refs. The code adds property names to the validProperties set when they are found within the object literal. The mutation introduces a new data structure, specifically a Set, to track the valid properties. When a property name is encountered in the refs iteration, the code checks if it is already present in the validProperties set. If it is not present, the code adds the property name to the set. If the property name is already present, the code continues without making any changes.",closure29,
no,no,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","The original code defines a new boolean flag, unknownDependencies, inside the Definition class. This flag is initialized to false and is used to indicate whether the definition has any unknown dependencies. The mutation introduces a new boolean flag, unknownDependencies, to the Definition class. This flag is initialized to false and is set to true when encountering a name node (n) that does not correspond to a declared variable in the jsScope. The flag is used to track cases where the definition has unknown dependencies, i.e., dependencies on variables that are not declared in the scope. This mutation enhances the code by providing a mechanism to differentiate between known and unknown dependencies for a given definition. It allows the code to handle cases where a variable referenced within the code is not explicitly declared in the scope.",closure30,
DOC[16],Romovel of condition ,"Title: ""Mutation Operators for Object-Oriented Programs"" Authors: Mary Jean Harrold and Gregg Rothermel Year: 1993 Conference: ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA)","In the given code snippet, a specific mutation is being performed. The mutation operator name is not explicitly mentioned in the code, but based on the context, it appears that a mutation is being made to remove the line !options.skipAllPasses from the if condition. By removing this condition, the code will no longer check if options.skipAllPasses is false before executing the subsequent code block. This mutation effectively changes the behavior of the code by potentially allowing the execution of the block regardless of the value of options.skipAllPasses. The reason behind this mutation is not clear from the provided information. Mutations are often used in testing scenarios to assess the robustness of code and identify potential issues or vulnerabilities. It's possible that this mutation is part of a testing process to evaluate the behavior of the code in different scenarios. It's worth noting that the impact of this mutation can vary depending on the broader context of the code and the purpose of the if condition. It's important to carefully consider the consequences of such mutations and thoroughly test the modified code to ensure its correctness and stability.",closure31,
no,no,can't find any reference paper ,"In the given code snippet, a mutation is being performed on the JsDocInfoParser class. The specific mutation operator name is not mentioned, but based on the code changes, it appears that a mutation is being made to introduce a new variable lineStartChar and modify its value under certain conditions. int lineStartChar = -1; This line introduces a new integer variable lineStartChar and initializes it with the value -1. This variable is used to track the start position of a line to count whitespace that the tokenizer skipped. The mutation also modifies the existing code by adding or modifying lineStartChar = stream.getCharno() + 1; This line assigns the value of stream.getCharno() + 1 to lineStartChar when the STAR token is encountered and ignoreStar is true. lineStartChar = 0; This line assigns the value 0 to lineStartChar when the ASTERISK token is encountered and ignoreStar is true. The purpose of this mutation seems to be enhancing the functionality of the JsDocInfoParser class. By tracking the start position of each line, the code can accurately count the number of whitespace characters that were skipped by the tokenizer. This information can be useful in preserving the whitespace formatting when needed, as indicated by the WhitespaceOption.PRESERVE condition in the code. It's important to note that the impact and intent of this mutation can be better understood with additional context about the overall functionality and requirements of the JsDocInfoParser class.",closure32,
